Scheme Code,ISIN
152781,INF0QA701904
120841,INF966L01887
153199,INF769K01NI6
101065,INF966L01176
118666,INF204K01E39
104482,INF740K01102
152093,INF754K01SA4
147701,INF247L01965
141225,INF174V01333
118665,INF204K01E21
148509,
153726,INF761K01HB0
120656,INF789F01US8
115270,INF582M01104
142108,INF174V01523
110606,INF761K01074
113179,INF204K01IA1
151999,INF397L01JH4
100650,INF189A01038
119177,INF277K01PW6
101824,INF277K01428
120827,INF966L01663
154226,INF0S5R01166
152738,INF090I01WX1
113153,INF740K01805
147840,INF174V01945
152938,INF0GCD01792
149185,INF174KA1HV3
120157,INF174K01LG7
153609,INF0QA701BK8
134958,INF192K01JU4
118535,INF090I01FK3
138312,INF663L01GR4
147479,INF769K01EY2
141249,INF582M01CV5
102875,INF174K01211
146128,INF760K01JG7
150798,INF03VN01704
129647,INF582M01BY1
153869,INF0K1H01305
153325,INF0R8701301
144547,INF277K017K6
119249,INF740K01PS1
153100,INF666M01JG2
150856,INF582M01IT6
149096,INF204KC1105
108596,INF194K01524
111642,INF044D01781
150348,INF03VN01522
149095,INF204KC1139
114458,INF174K01153
120599,INF109K014O9
149094,INF204KC1121
152107,INF082J01432
112931,INF769K01127
120504,INF846K01EF7
118988,INF179K01XO5
145139,INF205K011T7
120596,INF109K011O5
150815,INF192K01MV6
106143,INF205K01262
152385,INF663L01X96
146131,INF760K01JD4
149531,INF173K01197
153628,INF192K01NO9
130504,INF179KA1RX3
106260,INF204K01257
149020,INF663L01W30
153309,INF0QA701AV7
130496,INF179KA1RT1
100080,INF740K01011
109522,INF192K01635
152108,INF082J01440
134956,INF192K01JJ7
141926,INF846K01B02
152584,INF0GCD01743
102941,INF200K01560
150188,INF251K01HL1
152307,INF740KA1TZ4
150187,INF251K01HN7
118871,INF044D01BY1
140225,INF843K01013
118531,INF090I01FN7
100380,INF204K01406
149883,INF200KA16E6
150386,INF251K01QX7
152613,INF192K01NF7
100631,INF966L01234
146771,INF336L01NY9
119213,INF740K01QE9
146196,INF754K01JN6
151796,INF579M01AS1
120186,INF109K01Z71
120413,INF205K01MS2
152939,INF0GCD01800
118668,INF204K01E54
134954,INF192K01JL3
152136,INF0R8701012
140228,INF843K01AO4
150913,INF174V01BL5
144543,
140811,INF666M01CO1
154063,INF666M01NJ8
141226,INF174V01341
140174,INF843K01AM8
153308,INF0QA701AT1
102529,INF109K01EH6
143788,INF959L01EJ8
114565,INF846K01867
153034,INF666M01JD9
153727,INF761K01HC8
148405,INF761K01FI9
149532,INF173K01189
152942,INF0R8701277
150209,INF251K01AW3
106823,INF109K01BI0
118652,INF204K01XD4
120163,INF174K01KU0
150662,INF767K01RI1
100669,INF789F01513
110599,INF761K01041
133710,INF767K01NE9
119598,INF200K01QX4
141410,INF959L01CT1
100663,INF189A01046
112098,INF205K01304
118634,INF204K01XG7
151920,INF0J8L01131
145676,INF761K01EQ5
100651,INF789F01976
148404,INF761K01FF5
151412,INF769K01JJ2
152821,INF00XX01DA4
153542,INF1MIY01049
147842,INF174V01937
125496,INF200K01T69
151813,INF769K01KI2
147703,INF247L01981
112278,INF846K01172
151799,INF579M01AP7
152310,INF740KA1UC1
150915,INF174V01BK7
120727,INF789F01TY8
119070,INF740K01PY9
102528,INF109K01AN2
153326,INF0R8701327
145675,INF761K01EO0
150914,INF174V01BI1
118873,INF044D01CB7
149533,INF173K01EK6
101591,INF209K01355
103215,INF200K01222
154153,
149383,INF846K013E0
145207,INF277K013O7
152050,INF789F1AYX9
151919,INF0J8L01149
151291,INF336L01QO3
147943,INF194KB1AM2
141250,INF582M01CR3
105000,INF903J01DU9
149384,INF846K014E8
147843,INF174V01911
101162,INF204K01471
113221,INF760K01AR3
150812,INF192K01MS2
140814,INF666M01CQ6
152751,INF959L01HO1
150403,INF194KB1DN4
145205,INF277K017O8
114564,INF846K01859
100475,INF277K01931
110607,INF761K01082
118633,INF204K01D30
119219,INF740K01PM4
147445,INF769K01FA9
114457,INF174K01179
153516,INF789F1AB71
100476,INF044D01989
150211,INF251K01HO5
125301,INF663L01DW1
119350,INF761K01652
144905,INF680P01109
154228,INF0S5R01141
100519,INF090I01213
102884,INF090I01189
120825,INF966L01622
152384,INF663L01Y20
119300,INF761K01629
152234,INF247L01BW7
152824,INF00XX01CX8
150584,INF03VN01597
152352,INF247L01CB9
105804,INF209K01EN2
146194,INF754K01JK2
150797,INF03VN01696
129047,INF247L01528
148731,INF00XX01937
152137,INF0R8701020
150813,INF192K01MT0
152847,INF0K1H01198
119433,INF209K01VG0
151895,INF0QA701342
152615,INF192K01NI1
151378,INF00XX01CM1
141925,INF846K01B28
100218,INF192K01585
102942,INF200K01578
118834,INF769K01BI1
120357,INF205K01MA0
119218,INF740K01PL6
154043,INF2JJD01136
145210,
120465,INF846K01DP8
152818,INF663L01Y95
112089,INF174K01351
108466,INF109K01BL4
151798,INF579M01AT9
148733,INF00XX01929
120665,INF789F01UG3
153612,INF0QA701BN2
100470,INF090I01155
149102,INF174V01AR4
119178,INF277K01PY2
146197,INF754K01JO4
149882,INF200KA18E2
109523,INF192K01619
138307,INF663L01GU8
105757,INF179K01CS0
148988,INF109KC1Q98
101592,INF209K01363
151035,INF917K01E78
148354,INF00XX01788
152003,INF397L01JW3
120726,INF789F01UA6
149668,INF173K01FN7
144544,INF277K011L7
130501,INF179KA1SA9
105758,INF179K01CR2
152001,INF397L01JO0
140353,INF843K01KK1
